variable_id,variable_name,russian_name,category,level,access,excel_cell,pydantic_model,pydantic_field,calc_engine_model,calc_engine_field,db_table,db_storage,data_type,is_required,default_value,notes
1,sku,Артикул,Product Info,Product,User,-,ProductFromFile,product_code,ProductInfo,-,quote_items,product_code (column),string,no,,Product SKU for analytics
2,brand,Бренд,Product Info,Product,User,-,ProductFromFile,brand,ProductInfo,-,quote_items,brand (column - via migration 009),string,no,,Product brand for analytics
3,base_price_VAT,Цена закупки (включает VAT),Product Info,Product,User,K16,ProductFromFile,base_price_vat,ProductInfo,base_price_VAT,quote_items,base_price_vat (column),decimal,yes,,Product base price including VAT
4,quantity,Кол-во,Product Info,Product,User,E16,ProductFromFile,quantity,ProductInfo,quantity,quote_items,quantity (column),integer,yes,,Number of units
5,weight_in_kg,Вес (кг),Product Info,Product,User,G16,ProductFromFile,weight_in_kg,ProductInfo,weight_in_kg,quote_items,weight_in_kg (column),decimal,no,0,Product weight in kg
6,currency_of_base_price,Валюта цены закупки,Financial,Both,User,J16,ProductFromFile,currency_of_base_price,ProductInfo,currency_of_base_price,quote_calculation_variables,variables JSONB + quote_items.custom_fields,string,yes,,Currency of base price
7,currency_of_quote,Валюта КП,Financial,Quote,User,D8,QuoteCalculationRequest,variables["currency_of_quote"],FinancialParams,currency_of_quote,quote_calculation_variables,variables JSONB,string,yes,USD,Quote currency
8,exchange_rate_base_price_to_quote,Курс к валюте КП,Financial,Both,User,Q16,ProductFromFile,exchange_rate_base_price_to_quote,FinancialParams,exchange_rate_base_price_to_quote,quote_calculation_variables,variables JSONB + quote_items.custom_fields,decimal,yes,,Exchange rate - auto-fetched from CBR
9,supplier_country,Страна закупки,Logistics,Both,User,L16,ProductFromFile,supplier_country,LogisticsParams,supplier_country,quote_calculation_variables,variables JSONB + quote_items.custom_fields,string,yes,,Supplier country (affects VAT)
10,supplier_discount,Скидка поставщика (%),Financial,Both,User,O16,ProductFromFile,supplier_discount,FinancialParams,supplier_discount,quote_calculation_variables,variables JSONB + quote_items.custom_fields,decimal,no,0,Supplier discount percentage
11,customs_code,Код ТН ВЭД,Product Info,Both,User,W16,ProductFromFile,customs_code,ProductInfo,customs_code,quote_calculation_variables,variables JSONB + quote_items.custom_fields,string,yes,,10-digit customs code
12,import_tariff,Пошлина (%),Taxes & Duties,Both,User,X16,ProductFromFile,import_tariff,TaxesAndDuties,import_tariff,quote_calculation_variables,variables JSONB + quote_items.custom_fields,decimal,yes,,Import tariff percentage
13,excise_tax,Акциз,Taxes & Duties,Both,User,Z16,ProductFromFile,excise_tax,TaxesAndDuties,excise_tax,quote_calculation_variables,variables JSONB + quote_items.custom_fields,decimal,no,0,Excise tax per kg
14,markup,Наценка (%),Financial,Both,User,AC16,ProductFromFile,markup,FinancialParams,markup,quote_calculation_variables,variables JSONB + quote_items.custom_fields,decimal,yes,,Markup on COGS percentage
15,rate_forex_risk,Резерв на курсовой разнице (%),Financial,Quote,Admin,AH11,-,-,FinancialParams,rate_forex_risk,calculation_settings,rate_forex_risk (column),decimal,no,3,Admin-only: Currency exchange risk reserve
16,seller_company,Компания-продавец,Company Settings,Quote,User,D5,QuoteCalculationRequest,variables["seller_company"],CompanySettings,seller_company,quote_calculation_variables,variables JSONB,string,yes,МАСТЕР БЭРИНГ ООО,Seller company (derives seller_region)
